GmlID;ID;CODIGO;NOME;AREA_KM2;PERIMETR_M;Shape_Leng;Shape_Area
BAIRRO_POPULAR.80;80,000000000000000;694,000000000000000;Independência;0,791000000000000;8598,674000000000888;8598,673879030000535;-790989,690038000000641
BAIRRO_POPULAR.81;81,000000000000000;695,000000000000000;Monte Azul;0,588000000000000;4476,189999999999600;4476,190346370000043;-587850,165935000055470
BAIRRO_POPULAR.82;82,000000000000000;698,000000000000000;Ipiranga;0,893000000000000;4561,568000000000211;4561,568276060000244;-892715,610785000026226
BAIRRO_POPULAR.83;83,000000000000000;699,000000000000000;Itapoã;1,629000000000000;5299,770999999999731;5299,770968169999833;-1629093,470280000008643
BAIRRO_POPULAR.84;84,000000000000000;700,000000000000000;Jaqueline;2,954000000000000;10045,590000000000146;10045,590269899999839;-2954028,870130000170320
BAIRRO_POPULAR.85;85,000000000000000;701,000000000000000;Jaraguá;0,505000000000000;4084,139999999999873;4084,139534829999775;-504643,233820000023115
BAIRRO_POPULAR.86;86,000000000000000;702,000000000000000;Jardim América;0,928000000000000;8324,621999999999389;8324,622525740000128;-927838,923376000020653
BAIRRO_POPULAR.87;87,000000000000000;703,000000000000000;Jardim dos Comerciários;2,017000000000000;8952,926999999999680;8952,927485250000245;-2016692,989439999917522
BAIRRO_POPULAR.88;88,000000000000000;704,000000000000000;Jardim Montanhês;0,597000000000000;3613,505000000000109;3613,504866400000083;-596624,447195000015199
BAIRRO_POPULAR.89;89,000000000000000;705,000000000000000;Jardinópolis;0,454000000000000;5327,073000000000320;5327,073103939999783;-453712,033203999977559
BAIRRO_POPULAR.90;90,000000000000000;706,000000000000000;Jatobá;0,361000000000000;3486,483999999999924;3486,483866649999982;-360961,679346000018995
BAIRRO_POPULAR.91;91,000000000000000;707,000000000000000;João Pinheiro;0,853000000000000;4869,646999999999935;4869,646888530000069;-852898,035293000051752
BAIRRO_POPULAR.92;92,000000000000000;708,000000000000000;Lagoa;0,629000000000000;4260,252000000000407;4260,251828980000028;-629336,509909000014886
BAIRRO_POPULAR.93;93,000000000000000;709,000000000000000;Lagoinha Leblon;0,522000000000000;3482,518999999999778;3482,519159299999956;-522018,280620999983512
BAIRRO_POPULAR.94;94,000000000000000;710,000000000000000;Lagoinha;0,555000000000000;4603,016999999999825;4603,017247619999580;-555244,204370000050403
