objectid;área;nome;regiao_adm;area_plane;codbairro;codra;codbnum;link;rp;cod_rp;codbairro_;st_areasha;st_perimet;area_km2
471;48150630,065917968750000;Barra da Tijuca;BARRA DA TIJUCA;4;128;24;128;Barra da Tijuca           &area=128;Barra da Tijuca;4.2;128;48150757,380870647728443;47771,859388354925613;48,150757380899996
472;2153095,945312500000000;Leblon;LAGOA;2;026;6;26;Leblon                    &area=26;Zona Sul;2.1;26;2153101,652782704215497;7188,672220156106960;2,153101652780000
473;3084907,220214840024710;Ipanema;LAGOA;2;025;6;25;Ipanema                   &area=25;Zona Sul;2.1;25;3084915,337651670444757;23487,557826476371702;3,084915337650000
474;6488565,794433590024710;São Conrado;LAGOA;2;031;6;31;São Conrado               &area=31;Zona Sul;2.1;31;6488582,983184413053095;13311,910709791105546;6,488582983180000
475;1437194,755859379889444;Rocinha;ROCINHA;2;154;27;154;Rocinha                   &area=154;Zona Sul;2.1;154;1437198,577159316744655;6120,753452317617302;1,437198577160000
476;3636912,251953130122274;Pedra de Guaratiba;GUARATIBA;5;153;26;153;Pedra de Guaratiba        &area=153;Guaratiba;5.4;153;3636921,882234506774694;8804,335634873996241;3,636921882230000
477;30655624,236816409975290;Recreio dos Bandeirantes;BARRA DA TIJUCA;4;132;24;132;Recreio dos Bandeirantes  &area=132;Barra da Tijuca;4.2;132;30655705,141314152628183;38561,310855427414936;30,655705141300000
478;1621377,868164060171694;Vidigal;LAGOA;2;030;6;30;Vidigal                   &area=30;Zona Sul;2.1;30;1621382,121825656620786;7553,353992308110719;1,621382121830000
479;1689691,297363280085847;Joá;BARRA DA TIJUCA;4;126;24;126;Joá                       &area=126;Barra da Tijuca;4.2;126;1689695,788928824709728;8871,306290841801456;1,689695788930000
480;9442030,425292970612645;Barra de Guaratiba;GUARATIBA;5;152;26;152;Barra de Guaratiba        &area=152;Guaratiba;5.4;152;9442055,273279637098312;27508,223749720858905;9,442055273279999
481;9598826,275390630587935;Grumari;BARRA DA TIJUCA;4;133;24;133;Grumari                   &area=133;Barra da Tijuca;4.2;133;9598851,461777962744236;23375,374038318106614;9,598851461780001
482;5347480,576660159975290;Caju;PORTUARIA;1;004;1;4;Caju                      &area=4;Centro;1.1;4;5347494,848635037429631;19800,522523536459630;5,347494848640000
483;4640511,100097659975290;Deodoro;REALENGO;5;134;33;134;Deodoro                   &area=134;Bangu;5.1;134;4640523,625272044911981;12077,663947797307628;4,640523625270000
485;298325,824707029969431;Lapa;CENTRO;1;161;2;161;Lapa                &area=161;Centro;1.1;161;298326,620332345017232;3849,181818235967057;0,298326620332000
510;104445147,687500000000000;Campo Grande;CAMPO GRANDE;5;144;18;144;Campo Grande                &area=144;Campo Grande;5.2;144;104445426,692943513393402;75083,751961629954167;104,445426693000002
511;35966196,700195305049419;Bangu;BANGU;5;141;17;141;Bangu                &area=141;Bangu;5.1;141;35966293,177628561854362;46529,035222409009293;35,966293177600001
512;2534304,168457029853016;Gericinó;BANGU;5;160;17;160;Gericinó                &area=160;Bangu;5.1;160;2534311,073943881317973;8828,555709288513754;2,534311073940000
513;327327,083007809997071;Jabour;BANGU;5;163;17;163;Jabour            &area=163;Bangu;5.1;163;327327,981015896715689;2235,748406808340405;0,327327981016000
890;1473737,295898440061137;Vila Kennedy;BANGU;5;162;17;162;Vila Kennedy                &area=162;Bangu;5.1;162;1473741,300992386415601;6789,609579404400392;1,473741300990000
894;7714616,095168439671397;Ilha de Guaratiba;GUARATIBA;5;164;26;164;Ilha de Guaratiba                 &area=164;Guaratiba;5.4;164;7714636,536108488216996;13955,136855725742862;7,714636536110000
