OBJECTID;CODIGO;TIPO;NOME;FONTE;CD_REGIONA;NM_REGIONA;SHAPE_AREA;SHAPE_LEN;area_km2
20;9,000000000000000;DIVISA DE BAIRROS;ÁGUA VERDE;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;4773046,300180000253022;9760,918367000000217;4,773048616750000
22;18,000000000000000;DIVISA DE BAIRROS;JARDIM SOCIAL;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1958421,841839999891818;6055,953058000000055;1,958422914260000
23;57,000000000000000;DIVISA DE BAIRROS;XAXIM;Decreto Municipal 774 / 1975;2,000000000000000;REGIONAL BOQUEIRÃO;9085390,747069999575615;13783,592828000000736;9,085392570790001
5;22,000000000000000;DIVISA DE BAIRROS;JARDIM DAS AMÉRICAS;Decreto Municipal 774 / 1975;3,000000000000000;REGIONAL CAJURU;3859033,544460000004619;8818,503767000000153;3,859035425040000
9;26,000000000000000;DIVISA DE BAIRROS;GUAÍRA;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;2311397,490029999986291;6351,958996000000297;2,311398779330000
14;36,000000000000000;DIVISA DE BAIRROS;BAIRRO ALTO;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;7201072,616569999605417;13889,879150000000664;7,201076144120000
16;2,000000000000000;DIVISA DE BAIRROS;SÃO FRANCISCO;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1354451,537100000074133;4643,176821000000018;1,354452105210000
17;4,000000000000000;DIVISA DE BAIRROS;ALTO DA GLÓRIA;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;875482,914489999995567;4057,148901999999907;0,875483116809000
21;55,000000000000000;DIVISA DE BAIRROS;ATUBA;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;4159364,869649999774992;11301,951646999999866;4,159367324970000
25;16,000000000000000;DIVISA DE BAIRROS;CABRAL;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;2026591,312940000090748;6406,086113999999725;2,026592115320000
28;40,000000000000000;DIVISA DE BAIRROS;LINDÓIA;Decreto Municipal 774 / 1975;8,000000000000000;REGIONAL PINHEIRINHO;1181785,756790000014007;5797,587332000000060;1,181786367660000
33;44,000000000000000;DIVISA DE BAIRROS;CAMPO COMPRIDO;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE / REGIONAL PORTÃO;8569837,614530000835657;16637,624274000001606;8,569837419160001
34;3,000000000000000;DIVISA DE BAIRROS;CENTRO CÍVICO;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;947197,365450000041164;4864,094930000000204;0,947197530702000
1;15,000000000000000;DIVISA DE BAIRROS;JUVEVÊ;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1232102,163739999989048;5370,586438000000271;1,232102888190000
2;17,000000000000000;DIVISA DE BAIRROS;HUGO LANGE;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1184234,492400000104681;4676,688753000000361;1,184235194330000
3;20,000000000000000;DIVISA DE BAIRROS;CAPÃO DA IMBUIA;Decreto Municipal 774 / 1975;3,000000000000000;REGIONAL CAJURU;3249281,556809999980032;9051,241880999999921;3,249283057340000
4;29,000000000000000;DIVISA DE BAIRROS;SEMINÁRIO;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;2123844,634539999999106;7068,306784999999763;2,123845850780000
6;23,000000000000000;DIVISA DE BAIRROS;GUABIROTUBA;Decreto Municipal 774 / 1975;3,000000000000000;REGIONAL CAJURU;2654431,079930000007153;6576,156847999999627;2,654432518130000
